,period,stateDescription,sectorName,price,price-units
338,2024-01,Kentucky,industrial,7.18,cents per kilowatt-hour
340,2024-01,Kentucky,residential,12.51,cents per kilowatt-hour
341,2024-01,Kentucky,transportation,0.0,cents per kilowatt-hour
344,2024-01,Louisiana,industrial,5.75,cents per kilowatt-hour
346,2024-01,Louisiana,residential,10.82,cents per kilowatt-hour
349,2023-10,Pacific Contiguous,industrial,14.54,cents per kilowatt-hour
351,2023-10,Pacific Contiguous,residential,23.84,cents per kilowatt-hour
352,2023-10,Pacific Contiguous,transportation,14.42,cents per kilowatt-hour
355,2023-10,Pacific Noncontiguous,industrial,30.39,cents per kilowatt-hour
357,2023-10,Pacific Noncontiguous,residential,35.18,cents per kilowatt-hour
358,2023-10,Pacific Noncontiguous,transportation,0.0,cents per kilowatt-hour
359,2023-12,Maryland,transportation,11.7,cents per kilowatt-hour
362,2023-12,Massachusetts,industrial,17.66,cents per kilowatt-hour
364,2023-12,Massachusetts,residential,28.94,cents per kilowatt-hour
365,2023-12,Massachusetts,transportation,6.94,cents per kilowatt-hour
368,2023-12,Michigan,industrial,8.29,cents per kilowatt-hour
370,2023-12,Michigan,residential,18.7,cents per kilowatt-hour
371,2023-12,Michigan,transportation,13.68,cents per kilowatt-hour
374,2023-12,Minnesota,industrial,8.44,cents per kilowatt-hour
376,2023-12,Minnesota,residential,14.09,cents per kilowatt-hour
377,2023-12,Minnesota,transportation,10.52,cents per kilowatt-hour
380,2023-12,Mississippi,industrial,6.89,cents per kilowatt-hour
382,2023-12,Mississippi,residential,13.06,cents per kilowatt-hour
383,2023-12,Mississippi,transportation,0.0,cents per kilowatt-hour
386,2023-12,Missouri,industrial,7.26,cents per kilowatt-hour
388,2023-12,Missouri,residential,11.33,cents per kilowatt-hour
389,2023-12,Missouri,transportation,8.63,cents per kilowatt-hour
393,2023-11,New Hampshire,industrial,15.95,cents per kilowatt-hour
395,2023-11,New Hampshire,residential,25.58,cents per kilowatt-hour
396,2023-11,New Hampshire,transportation,0.0,cents per kilowatt-hour
399,2023-11,New Jersey,industrial,10.71,cents per kilowatt-hour
401,2023-11,New Jersey,residential,17.47,cents per kilowatt-hour
402,2023-11,New Jersey,transportation,11.59,cents per kilowatt-hour
405,2024-01,Louisiana,transportation,10.48,cents per kilowatt-hour
407,2023-08,South Dakota,industrial,8.36,cents per kilowatt-hour
409,2023-08,South Dakota,residential,13.07,cents per kilowatt-hour
410,2023-08,South Dakota,transportation,0.0,cents per kilowatt-hour
413,2023-08,Tennessee,industrial,6.41,cents per kilowatt-hour
415,2023-08,Tennessee,residential,11.93,cents per kilowatt-hour
416,2023-08,Tennessee,transportation,0.0,cents per kilowatt-hour
419,2023-08,Texas,industrial,9.19,cents per kilowatt-hour
421,2023-08,Texas,residential,14.17,cents per kilowatt-hour
422,2023-08,Texas,transportation,6.75,cents per kilowatt-hour
425,2023-08,Utah,industrial,7.32,cents per kilowatt-hour
427,2023-08,Utah,residential,11.67,cents per kilowatt-hour
428,2023-08,Utah,transportation,12.32,cents per kilowatt-hour
431,2023-08,Vermont,industrial,11.04,cents per kilowatt-hour
433,2023-08,Vermont,residential,20.47,cents per kilowatt-hour
434,2023-08,Vermont,transportation,0.0,cents per kilowatt-hour
437,2023-08,Virginia,industrial,8.62,cents per kilowatt-hour
439,2023-08,Virginia,residential,13.85,cents per kilowatt-hour
440,2023-08,Virginia,transportation,10.36,cents per kilowatt-hour
443,2023-08,Washington,industrial,6.61,cents per kilowatt-hour
445,2023-08,Washington,residential,11.14,cents per kilowatt-hour
446,2023-08,Washington,transportation,10.19,cents per kilowatt-hour
449,2023-08,West Virginia,industrial,7.08,cents per kilowatt-hour
451,2023-08,West Virginia,residential,14.2,cents per kilowatt-hour
452,2023-08,West Virginia,transportation,0.0,cents per kilowatt-hour
455,2023-08,Wisconsin,industrial,9.58,cents per kilowatt-hour
457,2023-08,Wisconsin,residential,17.19,cents per kilowatt-hour
458,2023-08,Wisconsin,transportation,18.57,cents per kilowatt-hour
461,2023-08,Wyoming,industrial,7.36,cents per kilowatt-hour
463,2023-08,Wyoming,residential,12.45,cents per kilowatt-hour
464,2023-08,Wyoming,transportation,0.0,cents per kilowatt-hour
466,2023-02,West South Central,industrial,6.53,cents per kilowatt-hour
468,2023-02,West South Central,residential,13.89,cents per kilowatt-hour
469,2023-02,West South Central,transportation,7.35,cents per kilowatt-hour
472,2023-02,Mountain,industrial,7.45,cents per kilowatt-hour
474,2023-02,Mountain,residential,13.0,cents per kilowatt-hour
475,2023-02,Mountain,transportation,12.94,cents per kilowatt-hour
478,2023-02,Pacific Contiguous,industrial,11.68,cents per kilowatt-hour
480,2023-02,Pacific Contiguous,residential,19.38,cents per kilowatt-hour
481,2023-02,Pacific Contiguous,transportation,11.8,cents per kilowatt-hour
484,2023-02,Pacific Noncontiguous,industrial,32.82,cents per kilowatt-hour
486,2023-02,Pacific Noncontiguous,residential,34.05,cents per kilowatt-hour
487,2023-02,Pacific Noncontiguous,transportation,0.0,cents per kilowatt-hour
490,2023-02,U.S. Total,industrial,8.01,cents per kilowatt-hour
492,2023-02,U.S. Total,residential,15.98,cents per kilowatt-hour
493,2023-02,U.S. Total,transportation,13.14,cents per kilowatt-hour
496,2023-04,Alabama,industrial,6.42,cents per kilowatt-hour
498,2023-04,Alabama,residential,14.54,cents per kilowatt-hour
499,2023-04,Alabama,transportation,0.0,cents per kilowatt-hour
502,2023-04,Alaska,industrial,18.85,cents per kilowatt-hour
504,2023-04,Alaska,residential,23.44,cents per kilowatt-hour
505,2023-04,Alaska,transportation,0.0,cents per kilowatt-hour
508,2023-04,Arizona,industrial,7.53,cents per kilowatt-hour
510,2023-04,Arizona,residential,14.12,cents per kilowatt-hour
511,2023-04,Arizona,transportation,9.28,cents per kilowatt-hour
515,2023-08,Maine,industrial,12.59,cents per kilowatt-hour
517,2023-08,Maine,residential,25.37,cents per kilowatt-hour
518,2023-08,Maine,transportation,0.0,cents per kilowatt-hour
521,2023-08,Maryland,industrial,10.02,cents per kilowatt-hour
523,2023-08,Maryland,residential,16.39,cents per kilowatt-hour
524,2023-08,Maryland,transportation,11.17,cents per kilowatt-hour
527,2023-08,Massachusetts,industrial,17.67,cents per kilowatt-hour
529,2023-08,Massachusetts,residential,28.02,cents per kilowatt-hour
530,2023-08,Massachusetts,transportation,6.75,cents per kilowatt-hour
533,2023-08,Michigan,industrial,8.13,cents per kilowatt-hour
535,2023-08,Michigan,residential,19.57,cents per kilowatt-hour
537,2023-01,North Dakota,residential,9.95,cents per kilowatt-hour
538,2023-01,North Dakota,transportation,0.0,cents per kilowatt-hour
541,2023-01,Ohio,industrial,7.42,cents per kilowatt-hour
543,2023-01,Ohio,residential,14.3,cents per kilowatt-hour
544,2023-01,Ohio,transportation,5.51,cents per kilowatt-hour
547,2023-01,Oklahoma,industrial,6.29,cents per kilowatt-hour
548,2023-04,Rhode Island,industrial,17.93,cents per kilowatt-hour
550,2023-04,Rhode Island,residential,23.54,cents per kilowatt-hour
551,2023-04,Rhode Island,transportation,16.69,cents per kilowatt-hour
554,2023-04,South Carolina,industrial,6.32,cents per kilowatt-hour
556,2023-04,South Carolina,residential,13.9,cents per kilowatt-hour
557,2023-04,South Carolina,transportation,0.0,cents per kilowatt-hour
560,2023-04,South Dakota,industrial,7.88,cents per kilowatt-hour
562,2023-04,South Dakota,residential,11.92,cents per kilowatt-hour
563,2023-04,South Dakota,transportation,0.0,cents per kilowatt-hour
566,2023-04,Tennessee,industrial,5.78,cents per kilowatt-hour
568,2023-04,Tennessee,residential,11.86,cents per kilowatt-hour
569,2023-04,Tennessee,transportation,0.0,cents per kilowatt-hour
572,2023-04,Texas,industrial,5.6,cents per kilowatt-hour
574,2023-04,Texas,residential,14.36,cents per kilowatt-hour
575,2023-04,Texas,transportation,7.14,cents per kilowatt-hour
578,2023-04,Utah,industrial,6.92,cents per kilowatt-hour
580,2023-04,Utah,residential,10.84,cents per kilowatt-hour
581,2023-04,Utah,transportation,12.2,cents per kilowatt-hour
584,2023-04,Vermont,industrial,10.84,cents per kilowatt-hour
586,2023-04,Vermont,residential,20.75,cents per kilowatt-hour
587,2023-10,Oklahoma,residential,13.04,cents per kilowatt-hour
588,2023-10,Oklahoma,transportation,0.0,cents per kilowatt-hour
591,2023-10,Oregon,industrial,7.48,cents per kilowatt-hour
593,2023-10,Oregon,residential,13.29,cents per kilowatt-hour
594,2023-10,Oregon,transportation,11.66,cents per kilowatt-hour
597,2023-10,Pennsylvania,industrial,7.63,cents per kilowatt-hour
599,2023-10,Pennsylvania,residential,18.44,cents per kilowatt-hour
600,2023-10,Pennsylvania,transportation,10.83,cents per kilowatt-hour
603,2023-10,Rhode Island,industrial,18.87,cents per kilowatt-hour
605,2023-10,Rhode Island,residential,30.08,cents per kilowatt-hour
606,2023-10,Rhode Island,transportation,17.42,cents per kilowatt-hour
609,2023-10,South Carolina,industrial,6.52,cents per kilowatt-hour
611,2023-10,South Carolina,residential,14.0,cents per kilowatt-hour
612,2023-10,South Carolina,transportation,0.0,cents per kilowatt-hour
615,2023-10,South Dakota,industrial,8.07,cents per kilowatt-hour
617,2023-10,South Dakota,residential,13.05,cents per kilowatt-hour
618,2023-10,South Dakota,transportation,0.0,cents per kilowatt-hour
621,2023-03,Pacific Contiguous,industrial,12.2,cents per kilowatt-hour
623,2023-03,Pacific Contiguous,residential,21.13,cents per kilowatt-hour
624,2023-03,Pacific Contiguous,transportation,11.63,cents per kilowatt-hour
627,2023-03,Pacific Noncontiguous,industrial,32.27,cents per kilowatt-hour
629,2023-03,Pacific Noncontiguous,residential,34.25,cents per kilowatt-hour
630,2023-03,Pacific Noncontiguous,transportation,0.0,cents per kilowatt-hour
633,2023-03,U.S. Total,industrial,7.8,cents per kilowatt-hour
635,2023-03,U.S. Total,residential,16.04,cents per kilowatt-hour
636,2023-03,U.S. Total,transportation,12.28,cents per kilowatt-hour
639,2023-12,Alabama,industrial,6.8,cents per kilowatt-hour
641,2023-12,Alabama,residential,14.16,cents per kilowatt-hour
642,2023-12,Alabama,transportation,0.0,cents per kilowatt-hour
645,2023-12,Alaska,industrial,20.55,cents per kilowatt-hour
647,2023-12,Alaska,residential,24.22,cents per kilowatt-hour
648,2023-12,Alaska,transportation,0.0,cents per kilowatt-hour
650,2023-05,Georgia,industrial,6.12,cents per kilowatt-hour
652,2023-05,Georgia,residential,13.96,cents per kilowatt-hour
653,2023-05,Georgia,transportation,5.94,cents per kilowatt-hour
656,2023-05,Hawaii,industrial,35.35,cents per kilowatt-hour
658,2023-05,Hawaii,residential,42.26,cents per kilowatt-hour
659,2023-05,Hawaii,transportation,0.0,cents per kilowatt-hour
662,2023-05,Idaho,industrial,6.56,cents per kilowatt-hour
663,2023-10,Tennessee,industrial,6.15,cents per kilowatt-hour
665,2023-10,Tennessee,residential,12.49,cents per kilowatt-hour
666,2023-10,Tennessee,transportation,0.0,cents per kilowatt-hour
669,2023-10,Texas,industrial,6.5,cents per kilowatt-hour
671,2023-10,Texas,residential,14.89,cents per kilowatt-hour
672,2023-10,Texas,transportation,7.17,cents per kilowatt-hour
675,2023-10,Utah,industrial,7.38,cents per kilowatt-hour
677,2023-10,Utah,residential,11.23,cents per kilowatt-hour
678,2023-10,Utah,transportation,12.32,cents per kilowatt-hour
681,2023-10,Vermont,industrial,11.3,cents per kilowatt-hour
683,2023-10,Vermont,residential,22.11,cents per kilowatt-hour
684,2023-10,Vermont,transportation,0.0,cents per kilowatt-hour
687,2023-10,Virginia,industrial,8.73,cents per kilowatt-hour
689,2023-10,Virginia,residential,14.16,cents per kilowatt-hour
691,2023-05,Idaho,residential,10.72,cents per kilowatt-hour
692,2023-05,Idaho,transportation,0.0,cents per kilowatt-hour
695,2023-05,Illinois,industrial,8.1,cents per kilowatt-hour
697,2023-05,Illinois,residential,17.86,cents per kilowatt-hour
698,2023-05,Illinois,transportation,7.25,cents per kilowatt-hour
701,2023-05,Indiana,industrial,8.11,cents per kilowatt-hour
703,2023-05,Indiana,residential,15.12,cents per kilowatt-hour
704,2023-05,Indiana,transportation,0.0,cents per kilowatt-hour
707,2023-05,Iowa,industrial,6.36,cents per kilowatt-hour
709,2023-05,Iowa,residential,14.29,cents per kilowatt-hour
710,2023-05,Iowa,transportation,0.0,cents per kilowatt-hour
713,2023-05,Kansas,industrial,7.43,cents per kilowatt-hour
715,2023-05,Kansas,residential,13.86,cents per kilowatt-hour
716,2023-05,Kansas,transportation,0.0,cents per kilowatt-hour
719,2023-05,Kentucky,industrial,6.51,cents per kilowatt-hour
721,2023-05,Kentucky,residential,12.69,cents per kilowatt-hour
722,2023-05,Kentucky,transportation,0.0,cents per kilowatt-hour
725,2023-05,Louisiana,industrial,5.68,cents per kilowatt-hour
727,2023-05,Louisiana,residential,11.72,cents per kilowatt-hour
728,2023-05,Louisiana,transportation,11.47,cents per kilowatt-hour
731,2023-05,Maine,industrial,11.84,cents per kilowatt-hour
733,2023-05,Maine,residential,29.19,cents per kilowatt-hour
734,2023-05,Maine,transportation,0.0,cents per kilowatt-hour
737,2023-05,Maryland,industrial,9.62,cents per kilowatt-hour
739,2023-05,Maryland,residential,16.08,cents per kilowatt-hour
740,2023-05,Maryland,transportation,11.33,cents per kilowatt-hour
743,2023-05,Massachusetts,industrial,17.6,cents per kilowatt-hour
745,2023-05,Massachusetts,residential,29.39,cents per kilowatt-hour
746,2023-05,Massachusetts,transportation,7.51,cents per kilowatt-hour
749,2023-05,Michigan,industrial,8.09,cents per kilowatt-hour
751,2023-05,Michigan,residential,18.7,cents per kilowatt-hour
752,2023-05,Michigan,transportation,14.07,cents per kilowatt-hour
754,2023-08,Michigan,transportation,14.12,cents per kilowatt-hour
757,2023-08,Minnesota,industrial,9.85,cents per kilowatt-hour
759,2023-08,Minnesota,residential,15.61,cents per kilowatt-hour
761,2023-06,Alabama,industrial,7.53,cents per kilowatt-hour
763,2023-06,Alabama,residential,14.67,cents per kilowatt-hour
764,2023-06,Alabama,transportation,0.0,cents per kilowatt-hour
767,2023-06,Alaska,industrial,19.22,cents per kilowatt-hour
769,2023-06,Alaska,residential,24.79,cents per kilowatt-hour
770,2023-06,Alaska,transportation,0.0,cents per kilowatt-hour
773,2023-06,Arizona,industrial,7.86,cents per kilowatt-hour
775,2023-06,Arizona,residential,14.28,cents per kilowatt-hour
776,2023-06,Arizona,transportation,11.46,cents per kilowatt-hour
779,2023-06,Arkansas,industrial,7.04,cents per kilowatt-hour
781,2023-06,Arkansas,residential,12.46,cents per kilowatt-hour
782,2023-06,Arkansas,transportation,16.8,cents per kilowatt-hour
785,2023-06,California,industrial,19.08,cents per kilowatt-hour
787,2023-06,California,residential,31.24,cents per kilowatt-hour
788,2023-06,California,transportation,11.85,cents per kilowatt-hour
791,2023-06,Colorado,industrial,8.96,cents per kilowatt-hour
793,2023-06,Colorado,residential,14.63,cents per kilowatt-hour
794,2023-06,Colorado,transportation,14.98,cents per kilowatt-hour
797,2023-06,Connecticut,industrial,14.5,cents per kilowatt-hour
799,2023-06,Connecticut,residential,31.85,cents per kilowatt-hour
800,2023-06,Connecticut,transportation,16.63,cents per kilowatt-hour
803,2023-06,Delaware,industrial,6.8,cents per kilowatt-hour
805,2023-08,Minnesota,transportation,13.4,cents per kilowatt-hour
808,2023-08,Mississippi,industrial,7.07,cents per kilowatt-hour
810,2023-08,Mississippi,residential,12.7,cents per kilowatt-hour
811,2023-08,Mississippi,transportation,0.0,cents per kilowatt-hour
814,2023-08,Missouri,industrial,8.97,cents per kilowatt-hour
816,2023-08,Missouri,residential,14.25,cents per kilowatt-hour
817,2023-08,Missouri,transportation,12.18,cents per kilowatt-hour
820,2023-08,Montana,industrial,8.74,cents per kilowatt-hour
822,2023-08,Montana,residential,12.93,cents per kilowatt-hour
823,2023-08,Montana,transportation,0.0,cents per kilowatt-hour
826,2023-08,Nebraska,industrial,8.47,cents per kilowatt-hour
828,2023-08,Nebraska,residential,12.19,cents per kilowatt-hour
829,2023-08,Nebraska,transportation,0.0,cents per kilowatt-hour
832,2023-08,Nevada,industrial,12.85,cents per kilowatt-hour
834,2023-08,Nevada,residential,16.48,cents per kilowatt-hour
835,2023-08,Nevada,transportation,12.87,cents per kilowatt-hour
838,2023-08,New Hampshire,industrial,14.93,cents per kilowatt-hour
840,2023-08,New Hampshire,residential,26.13,cents per kilowatt-hour
841,2023-08,New Hampshire,transportation,0.0,cents per kilowatt-hour
844,2023-08,New Jersey,industrial,12.32,cents per kilowatt-hour
846,2023-08,New Jersey,residential,18.51,cents per kilowatt-hour
847,2023-08,New Jersey,transportation,12.18,cents per kilowatt-hour
850,2023-08,New Mexico,industrial,5.22,cents per kilowatt-hour
852,2023-08,New Mexico,residential,14.41,cents per kilowatt-hour
853,2023-08,New Mexico,transportation,0.0,cents per kilowatt-hour
856,2023-08,New York,industrial,7.13,cents per kilowatt-hour
